company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
Dandelion,U.S.A,2016,Dominican republic,"Zorzal Reserva, 2015 H., Kerchner",70,3.75,2,0,0,0,0,1,0,cherry,rich choco,,
Dandelion,U.S.A,2017,Costa rica,"Hacienda Azul, 2016 Harvest",70,3,2,0,0,0,0,1,0,cocoa,sour,toffee,earthy
Dandelion,U.S.A,2018,India,"Anamalai, 2017 harvest",70,3.5,2,0,0,0,0,1,0,ripe orange,citrus,,
Dandelion,U.S.A,2018,Honduras,"WAPU, La Mosquitia, 2017 harvest",70,3.25,2,0,0,0,0,1,0,nutty,acid,,
Dandelion,U.S.A,2018,Sierra leone,"Gola Rainforest, 2017 harvest",70,3,2,0,0,0,0,1,0,vegetal,high astringent,,
Dandelion,U.S.A,2019,Vietnam,"Ben Tre, 2018 Harvest",70,3.5,2,0,0,0,0,1,0,green apple,sticky,,
Dandelion (aka Brower Ave),U.S.A,2011,Dominican republic,Dominican Republic,70,3.25,2,0,0,0,0,1,0,grassy,fruity,brownie,
Dandelion (aka Brower Ave),U.S.A,2011,Madagascar,Madagascar,70,3.25,2,0,0,0,0,1,0,brownie,red berry,,
Dandelion (aka Brower Ave),U.S.A,2011,Tanzania,Tanzania,70,3.25,2,0,0,0,0,1,0,cocoa flavor dominates,,,
Danta,Guatemala,2009,Guatemala,Las Acacias E.,60,3.25,4,1,1,0,0,1,0,wood,holiday spice,soap,
Danta,Guatemala,2009,Guatemala,Las Acacias E.,75,3,4,1,1,0,0,1,0,dark woody,plum,astringent,
Danta,Guatemala,2011,Guatemala,Los Ujuxtes,60,3.5,4,1,1,0,0,1,0,oily,dried fruit,vanilla,
Danta,Guatemala,2012,Guatemala,Las Acacias E.,70,4,2,0,0,0,0,1,0,sweet spice,floral,,
Danta,Guatemala,2012,Guatemala,Los Ujuxtes,70,3.75,2,0,0,0,0,1,0,spicy,,,
Danta,Guatemala,2012,Madagascar,Sambirano,70,3.75,2,0,0,0,0,1,0,oily,toffee,hints fruit,
Danta,Guatemala,2012,Guatemala,"Oscuro, Finca Chimelb",70,3.25,2,0,0,0,0,1,0,nutty,ashey,spicy pepper,
Danta,Guatemala,2012,Venezuela,Chuao,75,3,4,1,1,0,0,1,0,gummy,fatty,caramel,
Danta,Guatemala,2014,Guatemala,Los Ujuxtes,82,3.25,4,1,1,0,0,1,0,fatty,sunflower,peanutbutter,
DAR,U.S.A,2016,Blend,"DUO, batch 002, Ecuador, Costa Rica",70,3.25,2,0,0,0,0,1,0,floral,licorice,roasty,
DAR,U.S.A,2016,Vietnam,Vietnam,72,3,2,0,0,0,0,1,0,raisins,astringent,,
DAR,U.S.A,2016,Venezuela,"Venezuela, batch 122",72,2.75,2,0,0,0,0,1,0,nut,tobacco,burnt,notes
Darcis,Belgium,2019,Vietnam,Mekong Delta,70,3.25,4,1,0,1,0,1,0,muted,creamy,basic,
Darcis,Belgium,2019,Peru,Piura,72,3,4,1,0,1,0,1,0,muted,creamy,grapes,fatty
Dark Forest,U.S.A,2015,Venezuela,Ocumare,70,3.25,3,1,0,0,0,1,0,roasty,nutty,sweet,
Dark Forest,U.S.A,2015,Ecuador,Ecuador,70,3.25,3,1,0,0,0,1,0,bold,floral,rum,
Dark Forest,U.S.A,2015,Madagascar,Madagascar,70,3,3,1,0,0,0,1,0,sweet,strong sour,acidic,
Dark Forest,U.S.A,2015,Tanzania,Tanzania,70,3,3,1,0,0,0,1,0,intense,sweet,brownie,
Dark Forest,U.S.A,2016,Bolivia,Bolivia,75,3.25,3,1,0,0,0,1,0,mild cherry,fatty,,
Davis,U.S.A,2012,Blend,West Africa,58,3.25,4,1,0,1,0,1,0,nice melt,odd rubber notes,,
Davis,U.S.A,2013,Dominican republic,Rainforest,70,2.75,4,1,0,1,0,1,0,chalky,vanilla,caramel,
Davis,U.S.A,2013,Venezuela,Venezuela,70,2.75,4,1,0,1,0,1,0,fatty,powdery,nut,burntness
Davis,U.S.A,2013,Ghana,Ghana,70,2.5,4,1,0,1,0,1,0,vanilla,fatty,basic,
De Mendes,Brazil,2015,Brazil,"Nativo, Varzea",72,3.5,3,1,0,0,0,1,0,texture issues,brownie,,
De Mendes,Brazil,2015,Brazil,"Selvagem, Jari",65,3.5,3,1,0,0,0,1,0,one dimensional,brownie,,
De Villiers,South africa,2016,Madagascar,"Sambirano Valley, batch 2477",70,3,3,1,0,0,0,1,0,roast,fruit,,
De Villiers,South africa,2016,Uganda,Bundibugyo District,70,2.5,3,1,0,0,0,1,0,roast,intense,fatty,
Dean and Deluca (Belcolade),U.S.A,2007,Costa rica,Costa Rica,64,3,4,1,1,0,0,1,0,dark coffee,cocoa,,
Dean and Deluca (Belcolade),U.S.A,2007,Ecuador,Ecuador,71,3,4,1,1,0,0,1,0,cinamon,nutmeg,coffee,
Dean and Deluca (Belcolade),U.S.A,2007,Ghana,Ghana,60,3,4,1,1,0,0,1,0,nutty,simple,sweet,
Dean and Deluca (Belcolade),U.S.A,2007,Papua new guinea,Papua New Guinea,64,3,4,1,1,0,0,1,0,waxy,tobacco,smokey,
Dean and Deluca (Belcolade),U.S.A,2007,Peru,Peru,64,3,4,1,1,0,0,1,0,mild mint,basic,,
Dean and Deluca (Belcolade),U.S.A,2007,Madagascar,Madagascar,66,2.5,4,1,1,0,0,1,0,sandy,cloying,rich,
Debauve & Gallais (Michel Cluizel),France,2008,Venezuela,Venezuela,66,3.75,4,1,1,0,0,1,0,fatty,rich,roasty,
Debauve & Gallais (Michel Cluizel),France,2009,Papua new guinea,Papua New Guinea,64,3,4,1,1,0,0,1,0,smokey,chalky,berry,caramel
Definite,Dominican republic,2018,Dominican republic,Duarte Province,80,3,2,0,0,0,0,1,0,bitterish,fatty,grassy,
Definite,Dominican republic,2018,Dominican republic,Duarte Province,70,2.6,2,0,0,0,0,1,0,dirty,floral,unrefined,
Definite,Dominican republic,2018,Dominican republic,Elvesia,70,2.5,2,0,0,0,0,1,0,metallic,dirt earthy,,
Desbarres,Canada,2016,Tanzania,"Kilombero, batch 41",72,2.5,2,0,0,0,0,1,0,vanilla,chemical,rubber,
Desbarres,Canada,2019,Guatemala,"Monte Grande, batch 178",72,3,2,0,0,0,0,1,0,smokey,roasty,acidic,rich
DeVries,U.S.A,2007,Costa rica,Costa Rica,77,3.5,2,0,0,0,0,1,0,red berry,lingering coffee,,
DeVries,U.S.A,2007,Dominican republic,Dominican Republic,77,3.5,2,0,0,0,0,1,0,sticky,woodsy,rum,
DeVries,U.S.A,2008,Bolivia,Bolivian,80,2.75,2,0,0,0,0,1,0,intense fruit,bitter ending,,
Dick Taylor,U.S.A,2011,Ecuador,Ecuador,70,3.25,2,0,0,0,0,1,0,grassy,tea,late sour,
Dick Taylor,U.S.A,2011,Dominican republic,La Red,74,3,2,0,0,0,0,1,0,earthy,tart,sour,
Dick Taylor,U.S.A,2011,Madagascar,Sambirano,80,2.75,2,0,0,0,0,1,0,sandy,flat,hint berry,
Dick Taylor,U.S.A,2011,Venezuela,Mantuano,75,2.75,2,0,0,0,0,1,0,sticky,roasty,nutty,
Dick Taylor,U.S.A,2012,Bolivia,Bolivia,75,2.75,2,0,0,0,0,1,0,dry,mint,medicinal,
Dick Taylor,U.S.A,2013,Ecuador,Camino Verde,76,3.5,2,0,0,0,0,1,0,butter,floral,rum,
Dick Taylor,U.S.A,2013,Ecuador,"Ecuador, Choc. Garage Exclusive",70,3.25,2,0,0,0,0,1,0,oily,black pepper,roasty,
Dick Taylor,U.S.A,2014,Dominican republic,Elvesia,74,3.5,2,0,0,0,0,1,0,mild fruit spice,roasty,,
Dick Taylor,U.S.A,2015,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.",70,3.75,2,0,0,0,0,1,0,sticky,rich,cherry,
Dick Taylor,U.S.A,2016,Vietnam,Tien Giang,78,3.5,2,0,0,0,0,1,0,tropical berry,intense,,
Dick Taylor,U.S.A,2017,Solomon islands,"Solomon Is.,batch 17158, N.Vela",72,4,2,0,0,0,0,1,0,well defined,creamy,cherry,
Dick Taylor,U.S.A,2017,Guatemala,Lanquin Estate,70,3.75,2,0,0,0,0,1,0,blackberry,raisns,,
Dick Taylor,U.S.A,2017,Brazil,"Fazenda Camboa, Bahia, batch 17009",75,3.75,2,0,0,0,0,1,0,sticky,roasty nibs,grapes,
Dick Taylor,U.S.A,2018,Fiji,"Vanua Levu, Matasawalevu",80,3.75,2,0,0,0,0,1,0,cocoa,tea,malt,
Dick Taylor,U.S.A,2019,Belize,"Maya Mtn, Toledo",72,4,2,0,0,0,0,1,0,creamy,sticky,dried fruit,
Dick Taylor,U.S.A,2019,Madagascar,"Akesson P., Sambirano",72,3.75,2,0,0,0,0,1,0,sticky,dried fruit,toast,cocoa
Dick Taylor,U.S.A,2020,Blend,"Northerner, Madagascar and Brazil",73,3.5,2,0,0,0,0,1,0,burnt honey,earthy,,
Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, batch OST-18-01",65,3,4,1,0,1,0,1,0,complex,sweet,sour,grassy
Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, batch TRI-18-002, trinitario",75,3,4,1,0,1,0,1,0,bland,fatty,fruit,
Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, unroasted, batch UNR-18-003",70,2.75,4,1,0,1,0,1,0,cocoa,raw,dirty,chemical
Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, Grand Cru Plantation, amelonado",75,2.5,4,1,0,1,0,1,0,late cocoa,harsh,notes,
Doble & Bignall,U.k.,2014,Nicaragua,Johe,72,3.5,3,1,0,0,0,1,0,nutty,caramel,toffee,
Doble & Bignall,U.k.,2014,Panama,"Panama, Raven",72,3.25,3,1,0,0,0,1,0,mild cherry,earthy,,
Doble & Bignall,U.k.,2014,Venezuela,"Puerto Cabello, Mantuano",72,3.25,3,1,0,0,0,1,0,fatty,rasin,nutty,
Doble & Bignall,U.k.,2015,Venezuela,Puerto Cabello,85,3,3,1,0,0,0,1,0,intense,spicy,floral,
Dolfin (Belcolade),Belgium,2006,Blend,Noir,70,1.5,3,0,0,1,0,1,0,acidic,astringent,unpleasant,
Dolfin (Belcolade),Belgium,2008,Blend,"Africa, West Africa",88,3,3,0,0,1,0,1,0,sticky,floral,,
Domori,Italy,2006,Venezuela,Carenero Superior,70,3.5,2,0,0,0,0,1,0,creamy,basic,,
Domori,Italy,2006,Peru,Apurimac,70,3.25,2,0,0,0,0,1,0,floral,olive,,
Domori,Italy,2006,Venezuela,Sur del Lago Classificado,70,3,2,0,0,0,0,1,0,long lasting,fruit,,
Domori,Italy,2007,Venezuela,Porcelana,70,4,2,0,0,0,0,1,0,creamy,complex,coffee,
Domori,Italy,2007,Ecuador,Ecuador,70,4,2,0,0,0,0,1,0,creamy,nuts,woody,cocoa
Domori,Italy,2007,Venezuela,"Ocumare 67, Puertofino",70,4,2,0,0,0,0,1,0,creamy,mint,tobacco,olive
Domori,Italy,2007,Indonesia,"Java, Javablond",70,3.75,2,0,0,0,0,1,0,creamy,smokey,tobacco,
Domori,Italy,2007,Madagascar,Madagascar,70,3.5,2,0,0,0,0,1,0,fruity,basic,,
Domori,Italy,2007,Madagascar,Madagared,70,3.5,2,0,0,0,0,1,0,smooth,banana,cocoa,
Domori,Italy,2007,Venezuela,"Ocumare 61, Puertomar",75,3.25,2,0,0,0,0,1,0,sticky,smoke,ham,earthy
Domori,Italy,2007,Venezuela,Granella,60,3.25,2,0,0,0,0,1,0,mild spice,licorice,,
Domori,Italy,2008,Blend,Ilblend,70,3.75,2,0,0,0,0,1,0,sticky,olive,,
Domori,Italy,2008,Blend,Blend No. 1,78,3.5,2,0,0,0,0,1,0,sticky,grassy,coffee,
Domori,Italy,2008,Venezuela,"Carupano, H. San Jose",70,3,2,0,0,0,0,1,0,cucumber,hot spices,,
Domori,Italy,2008,Colombia,Teyuna,70,3,2,0,0,0,0,1,0,creamy,woody,earthy,
Domori,Italy,2010,Venezuela,"Chuao, Hacienda San Jose",70,3,2,0,0,0,0,1,0,subtle,caramel,sour milk,
Domori,Italy,2011,Venezuela,"Canoabo, Hacienda San Jose",70,3.5,2,0,0,0,0,1,0,smooth,intense,smoke,nut
Domori,Italy,2012,Venezuela,Guasare,70,3.75,2,0,0,0,0,1,0,creamy,coffee,caramel,
Domori,Italy,2012,Tanzania,Morogoro,70,3.5,2,0,0,0,0,1,0,sticky,nutty,,
Domori,Italy,2015,Ecuador,Hacienda Victoria,70,3.75,2,0,0,0,0,1,0,floral,well developed,creamy,
Domori,Italy,2015,Venezuela,Ocumare 77,70,3.75,2,0,0,0,0,1,0,nutty,strawberry,creamy,
Domori,Italy,2018,Tanzania,Tanzania,70,4,2,0,0,0,0,1,0,creamy,sticky,fruit,
Dormouse,U.k.,2015,Colombia,"Colombia, Batch 9",80,2.75,3,1,0,0,0,1,0,bitter,molasses,marshmallow,
Dormouse,U.k.,2015,Madagascar,"Madagascar, Batch 8",77,2.75,3,1,0,0,0,1,0,fruity,molasses,,
Dormouse,U.k.,2015,Venezuela,"Rio Caribe, Batch 7",70,2.5,3,1,0,0,0,1,0,burnt rubber,molasses,,
Dormouse,U.k.,2016,Grenada,Non Pariel Estate,75,2.75,3,1,0,0,0,0,1,licorice,molasses,rubber,
Dormouse,U.k.,2018,Guatemala,"Verapaz, batch 254",72,3.5,3,1,0,0,0,0,1,near perfect shine,cocoa,,
Dormouse,U.k.,2018,Peru,"Piura, batch 274",80,3.5,2,0,0,0,0,0,1,molasses,fruit,,
Dormouse,U.k.,2018,Philippines,"Kablon Farm, batch 242",71.5,2.75,3,1,0,0,0,0,1,molasses notes sugar,,,
Double Spiral,U.S.A,2019,Dominican republic,Hispaniola,75,3,2,0,0,0,0,1,0,dry,cocoa,grassy,spicy
Double Spiral,U.S.A,2019,Tanzania,Kokoa Kamili,70,2.75,2,0,0,0,0,1,0,dry,sour,sweet,mild fruit
Double Spiral,U.S.A,2019,Dominican republic,Oko Caribe,75,2.5,2,0,0,0,0,1,0,dry,earthy,walnut,
Duffy's,U.k.,2010,Ecuador,"Corazon del Ecuador, Calceta beans",72,3.75,3,1,0,0,0,1,0,rich,fruity,strong floral,
Duffy's,U.k.,2010,Peru,Star of Peru,70,3.75,3,1,0,0,0,1,0,dark forest berry,spice,,
Duffy's,U.k.,2010,Panama,Panama,70,3.5,3,1,0,0,0,1,0,caramel cocoa,,,
Duffy's,U.k.,2010,Ecuador,Star of Ecuador,70,2.5,3,1,0,0,0,1,0,chalky,bread,dirt,
Duffy's,U.k.,2011,Honduras,"Indio Rojo, Xoco",72,3.75,3,1,0,0,0,1,0,dried fruit,grapes,sour,
Duffy's,U.k.,2011,Dominican republic,Dominican Republic,65,3.5,3,1,0,0,0,1,0,heavy roast,woody,berry,
Duffy's,U.k.,2011,Venezuela,Ocumare,71,3.5,3,1,0,0,0,1,0,intense cocoa,,,
Duffy's,U.k.,2011,Nicaragua,"Nicaliso, Xoco",71,3.25,3,1,0,0,0,1,0,intense,almond,coffee,
Duffy's,U.k.,2011,Panama,"Bocas del Toro, Tierra Oscura",72,3,3,1,0,0,0,1,0,licorice,leathery,,
Duffy's,U.k.,2012,Venezuela,Ocumare,72,3.75,3,1,0,0,0,1,0,creamy,nutty,,
Duffy's,U.k.,2014,Nicaragua,"Rico Rugoso, Xoco",76,3.75,4,1,0,1,0,1,0,black pepper,rich,intense,
Duffy's,U.k.,2014,Nicaragua,"Chuno, Xoco",70,3.5,4,1,0,1,0,1,0,sandy,full bodied,spicy,
Duffy's,U.k.,2015,Guatemala,"Rio Dulce, Xoco",70,4,4,1,0,1,0,1,0,intense,spicy,butterscotch,
Duffy's,U.k.,2017,Nigeria,Eti-Oni,70,2.75,4,1,0,1,0,1,0,candy like flavor,,,
Duffy's,U.k.,2018,Guatemala,Mayan Red,80,3.25,4,1,0,1,0,1,0,intense earthy,cocoa,roasty,
Duffy's,U.k.,2019,Philippines,South Cotabato,70,3.5,4,1,0,1,0,1,0,cocoa,honey,watery,sweet
Dulcinea,U.S.A,2015,Dominican republic,"Dominican Republic, batch 1507",70,3.25,2,0,0,0,0,1,0,coarse,earthy,mild banana,
Durci,U.S.A,2015,Ecuador,Corona Arriba,70,4,3,1,0,0,0,1,0,blackberry cinnamon,,,
Durci,U.S.A,2015,Peru,"Maranon, Joya Rara",70,3.5,3,1,0,0,0,1,0,sandy,orange,butterscotch,
Durci,U.S.A,2015,Venezuela,"Rio Caribe, Tepui Treasure",70,3.5,3,1,0,0,0,1,0,fatty,roasty,intense brownie,
Durci,U.S.A,2015,Dominican republic,Taino Secret,70,3.25,3,1,0,0,0,1,0,dates,acidic,rich,
Durci,U.S.A,2015,Venezuela,"Carenero, Empyrean Sabor",70,3.25,3,1,0,0,0,1,0,cherry,earthy,tobacco,
Durci,U.S.A,2018,Peru,Piura Blanco,70,4,3,1,0,0,0,1,0,smoth,dense,grape,
East Van Roasters,Canada,2014,Dominican republic,"Dominican Republic, batch DR113",70,3.75,3,1,0,0,0,1,0,spicy,cocoa,,
East Van Roasters,Canada,2014,Madagascar,"Madagascar, batch M132",70,3.5,3,1,0,0,0,1,0,ultra fruity,,,
East Van Roasters,Canada,2014,Peru,"Peru, batch P116",70,3.25,3,1,0,0,0,1,0,waxy,spicy,tobacco,
Eau de Rose,Canada,2016,Colombia,Tumaco,70,3.25,3,1,0,0,0,1,0,dried fruit,strong floral,,
Eau de Rose,Canada,2016,Colombia,Arauca,70,3.25,3,1,0,0,0,1,0,mild,dried fruit,chocolate,
Eclat (Felchlin),U.S.A,2012,Peru,"Maranon, Good & Evil, w/ nibs",72,2.75,3,1,0,0,0,1,0,buttery,burlap,,
Eclat (Fruition),U.S.A,2019,Peru,"NOE, nacional/criollo, batch 1",80,3.5,2,0,0,0,0,1,0,nutty,almond butter,,
Edelmond,Germany,2016,Venezuela,Porcelana,68,3,2,0,0,0,0,1,0,dry,gritty,cardboard,nutty
El Ceibo,Bolivia,2008,Bolivia,Alto Beni,71,2.75,4,1,0,1,0,1,0,lemon,tart,burnt,chemical
El Ceibo,Bolivia,2011,Bolivia,"Alto Beni, Covendo Region",75,3.75,4,1,0,1,0,1,0,nutty,rich,red berry,
El Rey,Venezuela,2006,Venezuela,"Carenero Superior, Gran Saman",70,2.75,5,1,1,1,0,1,0,gritty,chalky,earthy,sour
El Rey,Venezuela,2008,Venezuela,"Carenero Superior, Mijao",61,3,5,1,1,1,0,1,0,muted,cherry,banana,
El Rey,Venezuela,2008,Venezuela,"Carenero Superior, Apamate",74,2.5,5,1,1,1,0,1,0,sandy,banana,sour,
El Rey,Venezuela,2008,Venezuela,"Carenero Superior, Bucare",58,2.5,5,1,1,1,0,1,0,gritty,sweet,banana,smoke
El Rey,Venezuela,2009,Venezuela,"Rio Caribe, Macuro",70,3,5,1,1,1,0,1,0,sandy,bold,cherry,peanut butter
El Rey,Venezuela,2009,Venezuela,"Rio Caribe, Cariaco",60.5,2.75,5,1,1,1,0,1,0,sweet,marshmallow,,
El Rey,Venezuela,2015,Venezuela,San Joaquin,70,3.75,5,1,1,1,0,1,0,spicy,caramel,vanilla,
Eldora,U.S.A,2019,Guatemala,"Polochic, batch 711",70,3.5,3,1,0,0,0,1,0,cocoa,fig notes,,
Emerald Estate,St. lucia,2013,St. lucia,Emerald Estate,70,3.25,2,0,0,0,0,1,0,sandy,tannic,earthy,
Emerald Estate,St. lucia,2013,St. lucia,Emerald Estate,60,2.75,2,0,0,0,0,1,0,low refinement,sweet,,
Emily's,Japan,2015,Peru,Peru,78,3.5,3,1,0,0,0,1,0,brownine,nutty,,
Emily's,Japan,2015,Venezuela,Patanemo,79,3,3,1,0,0,0,1,0,coarse,woody,roasty,
Encuentro,France,2018,Haiti,Pisa w/ nibs,70,3.5,2,0,0,0,0,1,0,simple,mild cocoa,fruit,
Encuentro,France,2018,Guatemala,Asochivite,70,3.5,2,0,0,0,0,1,0,spicy,sweet,,
Encuentro,France,2018,Madagascar,Bejofo,70,3.5,2,0,0,0,0,1,0,fruity,roasty,,
Encuentro,France,2018,Dominican republic,Oko Caribe,70,3.25,2,0,0,0,0,1,0,earthy,floral,cocoa,
ENNA,U.S.A,2016,Honduras,"Wampusirpi, batch 007",75,3.25,2,0,0,0,0,1,0,carrots,heavy roast,,
ENNA,U.S.A,2018,Vietnam,"Ben Tre, batch 77",72,3,2,0,0,0,0,1,0,intens,brownie,spicy,metal
ENNA,U.S.A,2019,Trinidad,"Maiden Voyage Estate, Herbert Pasqual",72,3.5,3,1,0,0,0,1,0,muddy,rainins,nut,rubbery
ENNA,U.S.A,2019,Tanzania,Kokoa Kamili,80,3,3,1,0,0,0,1,0,fruit,dirty,,
ENNA,U.S.A,2019,Sierra leone,Gola Rainforest,70,2.5,3,1,0,0,0,1,0,dirty,earthy,burnt,honey
Erithaj (A. Morin),France,2014,Vietnam,Ben Tre,70,3.25,3,1,0,0,0,1,0,spicy,green,long,intense
Erithaj (A. Morin),France,2014,Vietnam,"Ba Lai, Mekong Delta",74,3.25,3,1,0,0,0,1,0,grit,smoke,wood,blackberry
Erithaj (A. Morin),France,2014,Vietnam,Ham Luong,80,3,3,1,0,0,0,1,0,bitterish,smoke,hammy,
Escazu,U.S.A,2008,Venezuela,Ocumare,72,3,4,1,1,0,0,1,0,woody,cocoa,,
Escazu,U.S.A,2009,Venezuela,Carenero Superior,81,3.5,4,1,1,0,0,1,0,hazelnut,fruit,slight bitter,
Escazu,U.S.A,2009,Blend,"Carenero, Guapiles, Ocumare blend",74,2.75,4,1,1,0,0,1,0,sweet,vanilla,sticky,
Escazu,U.S.A,2009,Costa rica,Guapiles,65,2,4,1,1,0,0,1,0,sticky,slight plum,medicinal,
Escazu,U.S.A,2012,Venezuela,Rio Caribe,70,2.75,4,1,1,0,0,1,0,nutty,ginger,notes,
Ethel's Artisan (Mars),U.S.A,2011,Blend,Red Vanilla,62,2.75,4,1,1,0,0,1,0,sweet,vanilla,mild banana,
Ethel's Artisan (Mars),U.S.A,2011,Blend,"Peru, Madagascar",55,2.5,4,1,1,0,0,1,0,gritty,overyly sweet,fruit punch,
Ethel's Artisan (Mars),U.S.A,2011,Trinidad,Trinidad,55,2.5,4,1,1,0,0,1,0,grits,sweet,banana,
Ethel's Artisan (Mars),U.S.A,2011,Venezuela,Porcelana,70,2.5,4,1,1,0,0,1,0,strong vanilla,strawberry,nut,
Ethel's Artisan (Mars),U.S.A,2011,Blend,"Venezuela, Trinidad",62,2.5,4,1,1,0,0,1,0,gritty,sweet,vanilla,woody
Ethereal,U.S.A,2014,Dominican republic,Dominican Republic,80,3.75,3,1,0,0,0,1,0,coarse,bitterish,raisin,
Ethereal,U.S.A,2014,Ecuador,Ecuador,80,3.5,3,1,0,0,0,1,0,spicy,roasty,bitterish,
Ethereal,U.S.A,2014,Belize,Belize,80,3,3,1,0,0,0,1,0,mild fruit,earthy,,
Ethereal,U.S.A,2018,Guatemala,Guatemala,80,3.5,3,1,0,0,0,1,0,prominent plum note,,,
Exquisito,U.S.A,2019,Peru,"Maranon, Fortunato",73,3,3,1,0,0,0,1,0,dominated heavy roast,,,
Fearless (AMMA),U.S.A,2010,Brazil,"Monte Alegre, D. Badaro, Raw, Organic",75,2.75,2,0,0,0,0,1,0,perfume,floral,vanilla,
Feitoria Cacao,Portugal,2016,Jamaica,Blue Mountain,76,3,2,0,0,0,0,1,0,roasty,spicy,nutty,
Feitoria Cacao,Portugal,2016,Belize,Maya Mountain,76,2.75,2,0,0,0,0,1,0,metallic,notes,powdery,
Feitoria Cacao,Portugal,2016,Venezuela,Cuyagua,76,2.5,2,0,0,0,0,1,0,fatty,sandy,nutty,notes
Felchlin,Switzerland,2006,Bolivia,"Alto Beni, Cru Savage",68,4,5,1,1,1,0,1,0,complex,raspberry,cocoa,
Felchlin,Switzerland,2006,Ecuador,Arriba,72,3.5,5,1,1,1,0,1,0,fatty,rich,spice,nutty
Felchlin,Switzerland,2006,Madagascar,"Madagascar, Grand Cru",64,3,5,1,1,1,0,1,0,basic,short length,,
Felchlin,Switzerland,2006,Venezuela,Maracaibo Clasificado,65,3,5,1,1,1,0,1,0,creamy,floral,complex,
Felchlin,Switzerland,2006,Dominican republic,Elvesia P.,74,3,5,1,1,1,0,1,0,creamy,roasty,cocoa,
Felchlin,Switzerland,2006,Blend,Supremo- SF,62,2,5,1,1,1,0,1,0,malitol,cocoa,,
Felchlin,Switzerland,2010,Grenada,Grenada,58,3.5,5,1,1,1,0,1,0,spicey,marshmallow,,
Finca,U.S.A,2014,Dominican republic,Dominican Republic,70,3.25,3,1,0,0,0,1,0,sandy,sweet,mild fruit,
Finca,U.S.A,2014,Dominican republic,Dominican Republic,80,3,3,1,0,0,0,1,0,molasses,licorice,bitter,
Finca,U.S.A,2014,Dominican republic,Dominican Republic,85,2.5,3,1,0,0,0,1,0,intense,molasses,bitter,
Finca,U.S.A,2014,Puerto rico,Puerto Rico,65,2.25,3,1,0,0,0,1,0,intense,molasses,sweet,
Finnia,Canada,2020,Blend,"Ucayali (Peru), Papua New G., Tabasco (Mexico)",70,3.25,3,1,0,0,0,1,0,fruit,cocoa,fatty,
Finnia,Canada,2020,Mexico,Mexico,70,3,3,1,0,0,0,1,0,banana,bland,sour,
Finnia,Canada,2020,Honduras,Honduras,70,2.75,3,1,0,0,0,1,0,,hammy,roasty,
Finnia,Canada,2020,Colombia,"Chigorodo, batch 001",70,2.75,3,1,0,0,0,1,0,nutty,melon,vinegar,
Firetree,U.k.,2019,Vanuatu,Malekula Island,72,3.75,4,1,0,1,0,1,0,cherry,cocoa,creamy,
Firetree,U.k.,2019,Papua new guinea,Karkar Island,72,3.5,4,1,0,1,0,1,0,caramel,acidic,creamy,
Firetree,U.k.,2019,Solomon islands,Guadalcanal,69,3.5,4,1,0,1,0,1,0,plums,cocoa,,
Firetree,U.k.,2019,Philippines,Mindanao Island,73,3.25,4,1,0,1,0,1,0,creamy,honey,mild hammy,
Five (5)Mile,U.S.A,2018,Dominican republic,"Oko Caribe, San Fran. De Mac.,batch A",75,3.5,2,0,0,0,0,1,0,roasty,simple,,
Five (5)Mile,U.S.A,2018,Colombia,"Tumaco, batch 23abc",75,3,2,0,0,0,0,1,0,acidicity,bitter,nutty,
Five (5)Mile,U.S.A,2018,Belize,"Maya Mtn, batch 7C",75,2.75,2,0,0,0,0,1,0,hammy,dried fruit,,
Five (5)Mile,U.S.A,2018,Guatemala,"Monte Grande, batch 18",75,2.75,2,0,0,0,0,1,0,hammy,large grits,,
FJAK,Norway,2018,India,Goground,68,3.5,3,1,0,0,0,1,0,muted,mild sweet cocoa,,
FJAK,Norway,2018,Tanzania,Kokoa Kamili,70,3.5,3,1,0,0,0,1,0,fruit,spicy mild molasses,,
FJAK,Norway,2018,Madagascar,Bejofo,70,3,3,1,0,0,0,1,0,molasses,sour notes,,
Forever Cacao,U.k.,2014,Peru,Rio Eni,72,2.75,3,1,0,0,0,0,1,coconut,real sugar bar,,
Forteza (Cortes),Puerto rico,2016,Dominican republic,Dominican Republic,70,2.75,6,1,1,1,1,1,0,strong vanilla,earthy,nutty,
Forteza (Cortes),Puerto rico,2016,Dominican republic,Puerto Rico,80,2.75,6,1,1,1,1,1,0,vanilla,dried fruit,nuts,
Fossa,Singapore,2016,Tanzania,"Kokoa Kamili Coop, Kilombero",67,3.75,2,0,0,0,0,1,0,gummy,sandy,complex,
Fossa,Singapore,2016,Ecuador,"Camino Verde P., Balao, Guayas",75,3.5,2,0,0,0,0,1,0,sticky,floral,,
